,Percentile,PnL_Variable,N_Above,N_Below,Mean_PnL_Above,Mean_PnL_Below,Differential,Winner
0,25,PnL_fwd_pts_01_mediana,1957,652,0.7084867075664623,0.03707692307692305,0.6714097844895393,ABOVE
1,25,PnL_fwd_pts_05_mediana,1957,652,1.7390040962621607,0.3878284389489954,1.3511756573131652,ABOVE
2,25,PnL_fwd_pts_25_mediana,1957,652,7.5755620848237095,4.173696319018405,3.4018657658053044,ABOVE
3,25,PnL_fwd_pts_50_mediana,1957,652,15.903790238836967,13.542136150234741,2.3616540886022257,ABOVE
4,25,PnL_fwd_pts_90_mediana,1957,652,22.516579301075268,13.911417322834646,8.605161978240622,ABOVE
5,50,PnL_fwd_pts_01_mediana,1305,1304,0.8896743295019158,0.19129515757109913,0.6983791719308167,ABOVE
6,50,PnL_fwd_pts_05_mediana,1305,1304,1.9887567152724486,0.8140709329221281,1.1746857823503205,ABOVE
7,50,PnL_fwd_pts_25_mediana,1305,1304,6.42963601532567,7.0214340490797555,-0.5917980337540856,BELOW
8,50,PnL_fwd_pts_50_mediana,1305,1304,15.186856474258972,15.443939984411536,-0.2570835101525635,BELOW
9,50,PnL_fwd_pts_90_mediana,1305,1304,20.103735059760957,20.55193548387097,-0.4482004241100128,BELOW
10,75,PnL_fwd_pts_01_mediana,653,1956,1.1202526799387444,0.34735023041474655,0.7729024495239979,ABOVE
11,75,PnL_fwd_pts_05_mediana,653,1956,2.631699846860643,0.9906009244992297,1.6410989223614134,ABOVE
12,75,PnL_fwd_pts_25_mediana,653,1956,6.98583460949464,6.638484151329243,0.3473504581653968,ABOVE
13,75,PnL_fwd_pts_50_mediana,653,1956,18.794551777434314,14.141840458811261,4.652711318623053,ABOVE
14,75,PnL_fwd_pts_90_mediana,653,1956,23.28815891472868,19.293905405405404,3.9942535093232756,ABOVE
15,90,PnL_fwd_pts_01_mediana,261,2348,1.9277777777777778,0.38667377398720687,1.541104003790571,ABOVE
16,90,PnL_fwd_pts_05_mediana,261,2348,4.250383141762452,1.0850149636596838,3.165368178102768,ABOVE
17,90,PnL_fwd_pts_25_mediana,261,2348,9.684578544061301,6.396486371379898,3.288092172681403,ABOVE
18,90,PnL_fwd_pts_50_mediana,261,2348,24.807267441860464,14.253944516688343,10.553322925172122,ABOVE
19,90,PnL_fwd_pts_90_mediana,261,2348,25.8011673151751,19.697804959785522,6.103362355389578,ABOVE
