feature,threshold,percentile,n_below,n_above,median_below,median_above,median_diff,mw_pvalue
SPX_HV50,28.20620834719151,85,2180,385,9.625,34.05,24.424999999999997,1.1172176953530423e-31
SPX_HV20,28.09382419232383,85,2180,385,9.875,31.15,21.275,2.773172175476616e-26
__base_idx,1557.0,85,2179,386,9.9,30.8,20.9,6.220878589255975e-25
BQI_V2_ABS,56.9930932,90,2308,257,11.175,32.05,20.874999999999996,5.269927054897035e-15
SPX_SMA200,5746.276900000001,85,2179,386,9.9,30.575000000000003,20.675000000000004,2.2233820422275304e-24
theta_k2,-1.0299276,10,257,2308,30.6,11.024999999999999,-19.575000000000003,4.666067790940002e-18
theta_k1,-1.555662,10,255,2310,29.5,10.275,-19.225,4.116304203460703e-23
SPX_ATR14,64.4185714285715,90,2307,258,10.575,29.25,18.675,3.3292994162730304e-21
SPX_minus_SMA100,-325.17560000000003,10,256,2309,29.25,10.95,-18.3,1.1094820810062064e-19
SPX_BB_Width,617.5434552068764,90,2307,258,10.35,28.450000000000003,18.1,4.66799125549012e-20
SPX_MACD_Signal,-70.05280582353141,10,250,2315,28.762500000000003,10.725,-18.0375,4.8367838536790365e-22
VIX_Close,33.308,90,2308,257,11.425,28.625,17.2,1.279959125423694e-10
EarScore,108.36477599999999,90,2308,257,11.425,28.3,16.875,8.742649839610125e-13
SPX_minus_SMA200,-355.3477500000004,10,255,2310,28.45,11.587499999999999,-16.8625,3.554852962818895e-14
SPX_EMA200,5560.869694082933,80,2052,513,8.5,24.95,16.45,1.6103586345222642e-26
SPX_SMA100,5766.2719,80,2049,516,8.55,24.85,16.3,5.518950713189849e-26
SPX_MACD_Line,-75.52315786928557,10,255,2310,26.7,10.787500000000001,-15.912499999999998,6.783561940733484e-18
r,0.05197999999999997,90,2308,257,11.8625,26.9,15.037499999999998,1.7958623524928026e-09
SPX_minus_SMA50,-275.10440000000017,10,255,2310,25.95,11.2,-14.75,2.883953447273761e-13
SPX_SMA50,4645.435120000001,65,1667,898,7.825,21.0,13.175,1.0628271216737254e-22
SPX_ZScore50,1.69965254126201,90,2307,258,14.4,1.925,-12.475,1.83341578462664e-14
SPX_DailyChange,94.9379999999999,90,2308,257,11.5625,23.85,12.287500000000001,9.108681946285737e-07
EarL,81.06799999999998,90,2308,257,11.587499999999999,23.35,11.762500000000003,9.224291256787749e-08
RANK_PRE,11.0,10,250,2315,23.625,11.9,-11.725,0.00018503497438480463
SPX_BB_Pct,0.8339477189440808,80,2050,515,14.975,3.55,-11.425,4.40112906785661e-14
SPX_ZScore20,1.3357908757763264,80,2050,515,14.975,3.55,-11.425,4.40112906785661e-14
SPX_ROC20,-6.816336394393425,10,252,2313,22.6875,11.35,-11.3375,3.2384887840168253e-10
FF_BAT,0.3022047,10,230,2068,3.1625,14.025,10.8625,2.336975432395003e-08
FF_ATM,0.25361340000000004,85,2180,385,10.75,21.175,10.425,3.8397060678557944e-10
SPX_Stoch_D,76.29270337809538,60,1534,1031,16.8125,6.85,-9.9625,2.057758607160118e-12
