formula,train,test,abs_train,diff
SPX_chg_pct_50 * BQI_V2_ABS,0.44565561266243564,0.4201563391151134,0.44565561266243564,0.025499273547322232
SPX_chg_pct_50 * SPX_chg_pct_90,0.42581345066128873,0.38143361830635963,0.42581345066128873,0.044379832354929094
SPX_chg_pct_90 * SPX_chg_pct_25,0.3981340955829446,0.34422797085050194,0.3981340955829446,0.05390612473244266
SPX_chg_pct_50 * SPX_chg_pct_25,0.3951898705261575,0.33628202069951957,0.3951898705261575,0.05890784982663794
SPX_chg_pct_90 * BQI_V2_ABS,0.3911950040601768,0.3670599570636027,0.3911950040601768,0.024135046996574094
SPX_chg_pct_50 / BQI_V2_ABS,0.37916070748370956,0.39392193096549133,0.37916070748370956,0.014761223481781771
SPX_chg_pct_50 - SPX_chg_pct_05,0.340413019452646,0.35557132575722605,0.340413019452646,0.015158306304580038
SPX_chg_pct_25 * BQI_V2_ABS,0.3325603619602172,0.3273401686215786,0.3325603619602172,0.005220193338638601
SPX_chg_pct_90 / BQI_V2_ABS,0.3039223867665492,0.317718874729544,0.3039223867665492,0.013796487962994819
SPX_chg_pct_50 * SPX_chg_pct_05,0.29040843592390125,0.19793999055567396,0.29040843592390125,0.09246844536822729
SPX_chg_pct_25 / BQI_V2_ABS,0.2890538288292243,0.33527452625394993,0.2890538288292243,0.04622069742472562
SPX_chg_pct_90 * SPX_chg_pct_05,0.28729194289616167,0.174513891042626,0.28729194289616167,0.11277805185353568
SPX_chg_pct_90 - SPX_chg_pct_05,0.27712888966458055,0.29134895251333703,0.27712888966458055,0.014220062848756487
SPX_chg_pct_90 - SPX_MACD_Signal,0.25710238298490284,0.2405746015934843,0.25710238298490284,0.016527781391418556
SPX_chg_pct_90 - SPX_MACD_Line,0.2553299528827425,0.24422528216869668,0.2553299528827425,0.011104670714045833
SPX_chg_pct_50 - SPX_MACD_Line,0.25039900574411195,0.23616349589717758,0.25039900574411195,0.014235509846934363
SPX_chg_pct_50 - SPX_MACD_Signal,0.25032462869899685,0.23342405315850445,0.25032462869899685,0.016900575540492402
SPX_chg_pct_05 * BQI_V2_ABS,0.23792015012368298,0.1646434682110887,0.23792015012368298,0.07327668191259429
SPX_chg_pct_25 - SPX_MACD_Line,0.23030117091712424,0.22015683863991045,0.23030117091712424,0.010144332277213786
SPX_chg_pct_25 - SPX_MACD_Signal,0.22895592478466356,0.21601076762330848,0.22895592478466356,0.012945157161355081
SPX_chg_pct_25 - SPX_chg_pct_05,0.22661538928752892,0.29561370328092723,0.22661538928752892,0.06899831399339831
SPX_chg_pct_50 - SPX_chg_pct_25,0.2247742243001195,0.1874642629092975,0.2247742243001195,0.037309961390822016
BQI_V2_ABS * SPX_MACD_Line,-0.21978025309031057,-0.19543362271886242,0.21978025309031057,0.024346630371448158
BQI_V2_ABS - SPX_MACD_Line,0.2186991504214689,0.20425682888477126,0.2186991504214689,0.014442321536697639
BQI_V2_ABS - SPX_MACD_Signal,0.21774226880425793,0.20008603788758747,0.21774226880425793,0.017656230916670457
SPX_chg_pct_90 - SPX_minus_SMA50,0.21623622743863155,0.21039132096422755,0.21623622743863155,0.005844906474403999
SPX_chg_pct_05 - SPX_MACD_Line,0.2150430734437015,0.19667366223132407,0.2150430734437015,0.018369411212377423
BQI_V2_ABS * SPX_MACD_Signal,-0.21433999778659754,-0.18688673811480783,0.21433999778659754,0.027453259671789715
SPX_chg_pct_05 - SPX_MACD_Signal,0.21389865334997987,0.19098555442821863,0.21389865334997987,0.022913098921761244
SPX_chg_pct_05 / BQI_V2_ABS,0.21289162372286882,0.1775968945505765,0.21289162372286882,0.035294729172292316
BQI_V2_ABS * SPX_minus_SMA50,-0.21162405537014867,-0.1966886467532058,0.21162405537014867,0.014935408616942869
SPX_chg_pct_50 - SPX_minus_SMA50,0.20840100079075033,0.20092156727180904,0.20840100079075033,0.007479433518941286
SPX_chg_pct_25 - SPX_minus_SMA50,0.20230771397899602,0.19613489774682136,0.20230771397899602,0.006172816232174666
BQI_V2_ABS - SPX_minus_SMA50,0.1995417408956901,0.19210706971649835,0.1995417408956901,0.007434671179191749
SPX_chg_pct_05 - SPX_minus_SMA50,0.1994200491203132,0.189032393426864,0.1994200491203132,0.010387655693449183
SPX_chg_pct_90 * SPX_MACD_Line,-0.19469867723727158,-0.09388907393789048,0.19469867723727158,0.1008096032993811
SPX_chg_pct_90 * SPX_MACD_Signal,-0.1887048961379043,-0.09479683980716566,0.1887048961379043,0.09390805633073865
SPX_MACD_Line - SPX_minus_SMA50,0.1855431210046583,0.1815372132489259,0.1855431210046583,0.004005907755732396
SPX_chg_pct_90 * SPX_minus_SMA50,-0.18131738857501434,-0.08962453205268811,0.18131738857501434,0.09169285652232623
SPX_MACD_Signal - SPX_minus_SMA50,0.18128837901228298,0.17854993192392613,0.18128837901228298,0.0027384470883568546
SPX_chg_pct_25 * SPX_chg_pct_05,0.1701377074821694,0.1229240878311696,0.1701377074821694,0.04721361965099978
SPX_chg_pct_50 * SPX_MACD_Line,-0.15268452107927044,-0.06647644258722162,0.15268452107927044,0.08620807849204883
SPX_chg_pct_50 * SPX_MACD_Signal,-0.1522433075521209,-0.06470897996991498,0.1522433075521209,0.08753432758220592
SPX_chg_pct_50 * SPX_minus_SMA50,-0.1437531383449255,-0.07367718572740038,0.1437531383449255,0.07007595261752513
SPX_chg_pct_90 - SPX_chg_pct_25,0.1420701920425484,0.13228430530304927,0.1420701920425484,0.009785886739499122
SPX_chg_pct_05 - BQI_V2_ABS,-0.11576134244505297,-0.10908852584280895,0.11576134244505297,0.006672816602244017
SPX_chg_pct_50 - BQI_V2_ABS,0.10685799144448692,0.12581053431152872,0.10685799144448692,0.018952542867041802
SPX_chg_pct_05 * SPX_minus_SMA50,-0.10050172912759672,-0.005227732691000098,0.10050172912759672,0.09527399643659662
SPX_chg_pct_05 * SPX_MACD_Line,-0.09337684285374556,0.0068277057520457225,0.09337684285374556,0.10020454860579128
SPX_chg_pct_05 * SPX_MACD_Signal,-0.0923793361506268,0.005733425686131244,0.0923793361506268,0.09811276183675804
SPX_chg_pct_25 * SPX_MACD_Line,-0.08651563705053202,0.027176901452095805,0.08651563705053202,0.11369253850262782
SPX_chg_pct_25 * SPX_minus_SMA50,-0.08650842123808516,-0.000312733257937634,0.08650842123808516,0.08619568798014753
SPX_chg_pct_90 - BQI_V2_ABS,0.08166858955375834,0.11431956337954689,0.08166858955375834,0.03265097382578855
SPX_chg_pct_25 * SPX_MACD_Signal,-0.07610768032147522,0.035045955303329386,0.07610768032147522,0.1111536356248046
SPX_chg_pct_50 / SPX_chg_pct_90,0.06257282606491672,0.06171678672559954,0.06257282606491672,0.0008560393393171814
SPX_MACD_Line - SPX_MACD_Signal,-0.04642596743410901,-0.057693137373083896,0.04642596743410901,0.011267169938974884
SPX_MACD_Line / SPX_minus_SMA50,-0.03724514632211684,0.014696310995370242,0.03724514632211684,0.05194145731748708
BQI_V2_ABS / SPX_MACD_Signal,0.035472168444662895,0.02542295243625962,0.035472168444662895,0.010049216008403274
SPX_chg_pct_50 / SPX_MACD_Signal,0.03547216828562523,0.15463382691834818,0.03547216828562523,0.11916165863272295
SPX_chg_pct_25 / SPX_MACD_Signal,0.0354721679664473,0.1684973808429697,0.0354721679664473,0.1330252128765224
SPX_chg_pct_50 / SPX_MACD_Line,0.03547216791745875,0.04580718613277971,0.03547216791745875,0.010335018215320964
SPX_chg_pct_25 / SPX_MACD_Line,0.03547216789592096,0.03547704009931523,0.03547216789592096,4.872203394269692e-06
BQI_V2_ABS / SPX_MACD_Line,0.03547216782688206,0.0029680943688067617,0.03547216782688206,0.0325040734580753
SPX_chg_pct_50 / SPX_minus_SMA50,0.035472167808607936,0.04291445477054673,0.035472167808607936,0.007442286961938792
SPX_chg_pct_25 / SPX_minus_SMA50,0.03547216780417752,0.040841165783065486,0.03547216780417752,0.005368997978887964
BQI_V2_ABS / SPX_minus_SMA50,0.035472167783997234,0.020234895013632927,0.035472167783997234,0.015237272770364307
SPX_chg_pct_05 / SPX_MACD_Signal,0.03545244707196368,0.08055081522672095,0.03545244707196368,0.04509836815475726
SPX_chg_pct_05 / SPX_MACD_Line,0.035452446949859384,0.03555530663420701,0.035452446949859384,0.00010285968434762399
SPX_chg_pct_05 / SPX_minus_SMA50,0.03545244677712074,0.027041211693851444,0.03545244677712074,0.008411235083269297
SPX_chg_pct_90 / SPX_MACD_Signal,0.03540574414268371,0.11737850653369433,0.03540574414268371,0.08197276239101062
SPX_chg_pct_90 / SPX_MACD_Line,0.03540574388508986,0.023491244397327173,0.03540574388508986,0.011914499487762686
SPX_chg_pct_90 / SPX_minus_SMA50,0.03540574385383191,0.09910931406984821,0.03540574385383191,0.0637035702160163
SPX_MACD_Line / SPX_MACD_Signal,-0.033167699141542065,-0.02459969003185697,0.033167699141542065,0.008568009109685096
SPX_chg_pct_50 / SPX_chg_pct_05,0.027748377915836984,0.02721691020112405,0.027748377915836984,0.0005314677147129354
SPX_chg_pct_25 / SPX_chg_pct_05,0.02681950139957108,0.028380769853365958,0.02681950139957108,0.0015612684537948777
SPX_chg_pct_90 / SPX_chg_pct_05,0.026381585751284024,0.02604487336585926,0.026381585751284024,0.00033671238542476445
SPX_MACD_Line * SPX_MACD_Signal,0.022087817796786893,0.027295744274763428,0.022087817796786893,0.005207926477976535
SPX_MACD_Signal * SPX_minus_SMA50,0.0215920790261767,0.014496917507890813,0.0215920790261767,0.007095161518285887
SPX_MACD_Signal / SPX_minus_SMA50,-0.015588951616988,0.028880699608570034,0.015588951616988,0.044469651225558036
SPX_chg_pct_90 / SPX_chg_pct_25,0.014629204131942344,0.009232532868730329,0.014629204131942344,0.005396671263212015
SPX_MACD_Line * SPX_minus_SMA50,0.012831458187240758,-0.002319164909782702,0.012831458187240758,0.01515062309702346
SPX_chg_pct_50 - SPX_chg_pct_90,0.008339525409744303,-0.025564295569678548,0.008339525409744303,0.03390382097942285
SPX_chg_pct_50 / SPX_chg_pct_25,0.0076462804389828805,0.002009196984399681,0.0076462804389828805,0.005637083454583199
SPX_chg_pct_25 - BQI_V2_ABS,-0.002276159472858016,0.03527156362262291,0.002276159472858016,0.03754772309548093
